,NAME,ADDRESS,CITY,STATE,PHONE_NUMBER
188,GORDON BIERSCH,2400 JOHN BRANTLEY BLVD,RDU AIRPORT,NC,111111111111111.0
189,NEW GRAND ASIA,7371 SIX FORKS  RD,RALEIGH,NC,111111111111111.0
190,Zaxby's Restaurant,4150 FAYETTEVILLE RD,RALEIGH,NC,19196617772.0
191,Chick-fil-A #1963,8661 Six Forks RD,RALEIGH,NC,19198486715.0
192,ATLAS CUISINE.,914 KILDAIRE FARM  RD,CARY,NC,19193083306.0
193,THE CORNER TAVERN &amp; GRILL,1301 NW MAYNARD  RD,CARY,NC,19194600088.0
194,DOS TAQUITOS,6101 GLENWOOD AVE,RALEIGH,NC,19197873373.0
195,CHICK-FIL-A #03376,3770 LAKE BOONE TRL,RALEIGH,NC,19194202471.0
196,Good Taste Chinese Restaurant,532 W Gannon AVE,ZEBULON,NC,19194041218.0
197,HIGHCRAFT BEER MARKET,2716 NC 55 HWY,CARY,NC,19192676593.0
198,FOOD LION #2196 DELI,3609 DAVIS DR,MORRISVILLE,NC,19194694195.0
199,Five Guys Burgers &amp; Fries #NC0144,712 SE Maynard RD,CARY,NC,19194677577.0
200,DON JULIO MEXICAN RESTAURANT,12516-104 CAPITAL BLVD,WAKE FOREST,NC,19842351537.0
201,Randy's Pizza,4129 Davis DR,MORRISVILLE,NC,19194683737.0
202,Taipei Authentic Chinese Cuisine,121 E Chatham ST,CARY,NC,19193885885.0
203,Kome Asian Cuisine,4551-130 New Bern AVE,RALEIGH,NC,19192126666.0
204,SHANGHAI EXPRESS,2502 HILLSBOROUGH ST,RALEIGH,NC,19197549797.0
205,WAFFLE HOUSE #725,2624 WESTINGHOUSE BLVD,RALEIGH,NC,19198335954.0
206,FAINTING GOAT BREWING COMPANY,330 S MAIN ST,FUQUAY-VARINA,NC,19193467915.0
207,SUBWAY #3726,12233 CAPITAL BLVD,WAKE FOREST,NC,19195568622.0
208,BODY OF CHRIST CHURCH DREAM CENTER,5616 FOX RD,RALEIGH,NC,19188721931.0
209,Pure Gold Club Drink Stand,301 N HARRISON AVE,CARY,NC,111111111111111.0
210,JERSEY MIKE'S #349,3201-139 EDWARDS MILL RD,RALEIGH,NC,19842025627.0
211,Falls Tap Room,5009 FALLS OF NEUSE RD,RALEIGH,NC,111111111111111.0
212,Hardee's #1206,5601 Creedmoor RD,RALEIGH,NC,19197814332.0
213,Pei Wei Asian Diner #0116,1107 -101 Walnut ST,CARY,NC,19193370050.0
214,Hardee's #1189,100 Vandora Springs RD,GARNER,NC,19197727209.0
215,BROOKLYN BOYS PIZZERIA,1260 NW Maynard RD,CARY,NC,19193193232.0
216,NOODLES &amp; COMPANY #866,1055 BEAVER CREEK COMMONS DR,APEX,NC,19193629153.0
217,CHINA UNO,308  VILLAGE WALK  DR,HOLLY SPRINGS,NC,19195579888.0
218,Mura At North Hills,4121 Main At North Hills ST,RALEIGH,NC,19197817887.0
219,Oliver Twist Tapas Lounge,8111-137 Creedmoor RD,RALEIGH,NC,111111111111111.0
220,Arby's,2104 S Main ST,WAKE FOREST,NC,19195566724.0
221,LAS FINCAS,903 N SMITHFIELD RD,KNIGHTDALE,NC,111111111111111.0
222,CHILI'S GRILL &amp; BAR #1566,111 GRAND HILL PL,HOLLY SPRINGS,NC,19195577841.0
223,METLIFE 1 JUICE BAR,101 METLIFE WAY,CARY,NC,19199075617.0
224,GOLDEN CHINA,1324 N MAIN ST,FUQUAY VARINA,NC,19195529397.0
225,HAYASHI JAPANESE RESTAURANT,13200 NEW FALLS OF NUESE RD,RALEIGH,NC,19195540508.0
226,TAVERN ON THE GREEN,565 COMPETITION RD,RALEIGH,NC,19198966330.0
227,CAJUN CRAB HOUSE,6204-120 GLENWOOD  AVE,RALEIGH,NC,19197817599.0
228,Hardee's #1207,5639 Hillsborough ST,RALEIGH,NC,19198590607.0
229,Inchin's Bamboo Garden,3532 Davis DR,MORRISVILLE,NC,19194576705.0
230,HYATT HOUSE FOODSERVICE,10962 CHAPEL HILL RD,MORRISVILLE,NC,19193885355.0
231,New Eastern Buffet,9650 Strickland RD,RALEIGH,NC,19198486670.0
232,Bosphorus Restaurant,329 N Harrison AVE,CARY,NC,19194601300.0
233,CHINA BEST,632  HOLLY SPRINGS RD,HOLLY SPRINGS,NC,19195770888.0
234,GOLDEN CORRAL # 2501,1420 E BROAD ST,FUQUAY VARINA,NC,19195527604.0
235,FOOD LION #1514 DELI,9567 CHAPEL HILL RD,MORRISVILLE,NC,19194621542.0
236,DELHI DARBAR INDIAN CUISINE,962 AIRPORT  BLVD,MORRISVILLE,NC,19194603339.0
237,Seoul Garden Restaurant,4701-131 Atlantic Ave,RALEIGH,NC,19198509984.0
238,FRESH LEVANT BISTRO,8450-106 HONEYCUTT RD,RALEIGH,NC,19842003999.0
239,HERO'S PUB,7440-8 SIX FORKS RD,RALEIGH,NC,19197065750.0
240,Chef Mario,2610 Wycliff RD,RALEIGH,NC,19197814141.0
241,HOPE CAFE,201 TRYON RD,RALEIGH,NC,111111111111111.0
242,HIBACHI ASIAN DINER,2004 NEW BERN AVE,RALEIGH,NC,19195941772.0
243,Taqueria Rancho Grande,1401 SE Maynard RD,CARY,NC,19194694245.0
244,1705 Prime Catering and Events,1705 E Millbrook RD,RALEIGH,NC,19198502340.0
245,KFC/Taco Bell #J120104,1011 N Harrison AVE,CARY,NC,19194676318.0
246,KFC #J120100,1221 New Bern AVE,RALEIGH,NC,19198287460.0
247,WAFFLE HOUSE #1302,1417 E WILLIAMS ST,APEX,NC,19193639137.0
248,TRA'LI,3107 GRACE PARK  DR,MORRISVILLE,NC,19196519083.0
249,HARDEE'S #1655,1560 N BROAD ST,FUQUAY-VARINA,NC,19195529772.0
250,Oak City Fish and Chips,"2822 New Birch Dr, Ste 102",RALEIGH,NC,13365871852.0
251,Zebulon Country Club,2424 Pearces RD,ZEBULON,NC,19192698311.0
252,First Watch Daytime Cafe #580,2808-105 Rogers RD,WAKE FOREST,NC,19195695763.0
253,GODAVARI TRULY SOUTH INDIAN,100-108 JERUSALEM DR,MORRISVILLE,NC,19192346950.0
254,Tropical Smoothie Cafe,409 Village Walk DR,HOLLY SPRINGS,NC,19195867130.0
255,TWO GUYS GRILLE,4149 Davis DR,MORRISVILLE,NC,19194629336.0
256,Publix 1551 Deli,9640 Leesville RD,Raleigh,NC,19198483480.0
257,BUNS BARN,3524 DAVIS DR,MORRISVILLE,NC,
258,KEBAB SKEWER,6446 TRYON RD,CARY,NC,19193221535.0
259,FRIDA'S PATIO MEXICAN CUISINE,3470 KILDAIRE FARM RD,CARY,NC,19192679477.0
260,Venture Pizza,2320 Bale ST,RALEIGH,NC,19192149871.0
261,Hibachi 88,6213 Rock Quarry RD,Raleigh,NC,19196628899.0
262,JERRY'S GRILL,813 E Whitaker Mill RD,RALEIGH,NC,19198327561.0
263,Guasaca,2512-110 Hillsborough ST,RALEIGH,NC,19192106838.0
264,Pizzeria Veritas,1260 NW Maynard RD,CARY,NC,19193193232.0
265,Habibi Grill,1007 Method RD,RALEIGH,NC,19199861928.0
266,Amalia's Authentic Italian Restaurant,1248 S Main ST,WAKE FOREST,NC,19842370002.0
267,CHICK-FIL-A #1218,411 COLONADES WAY,CARY,NC,19198168222.0
268,Treeo Senior Living Foodservice,2722 Spring Forest RD,RALEIGH,NC,19198637770.0
269,Firehouse Subs #1517,11704 Retail DR,WAKE FOREST,NC,19195561010.0
270,Kim's Restaurant,6014 DURALEIGH RD,RALEIGH,NC,19195105999.0
271,J &amp; S NEW YORK,2025 RENNAISANCE PARK PL,CARY,NC,
272,Chhote's,1155  Timber  DR E,GARNER,NC,19194826535.0
273,Courtyard by Marriott Parkside Town Commons Food Service,1008 Parkside Main ST,CARY,NC,19196591250.0
274,Uninhibited Tapas Bar,3048 Medlin DR,RALEIGH,NC,19198905203.0
275,Budacai,120 E Martin ST,RALEIGH,NC,19198034005.0
276,CHICK-FIL-A #1218,411 COLONADES WAY,CARY,NC,19198168222.0
277,Big Ed's Garner,231 Timber DR,GARNER,NC,19199007764.0
278,Umami,8411 Brier Creek  PKY,RALEIGH,NC,19198062888.0
279,Mellow Mushroom,9600 Brier Creek PKY,RALEIGH,NC,
280,Cava #84,403 Daniels ST,RALEIGH,NC,19192787597.0
281,Jersey Mike's Sub #3189,166 Cabela DR,GARNER,NC,19199991540.0
282,Starbucks Target 1824,1040 Timber DR E,GARNER,NC,19196612017.0
283,BOXCAR COFFEE AND SCOOPS,903 N SMITHFIELD DR,KNIGHTDALE,NC,19102954741.0
284,Starbucks #49535,3460 Kildaire Farm RD,CARY,NC,
285,Joe Van Gogh,3109-115 Poplarwood CT,RALEIGH,NC,19199008528.0
286,Thai 54,10290 Chapel Hill RD,MORRISVILLE,NC,19194438038.0
287,Sweetwaters Coffee &amp; Tea,726 SLASH PINE DR,CARY,NC,19196945111.0
288,London Bridge Pub,110 E Hargett ST,RALEIGH,NC,19198386633.0
289,Asali Desserts and Cafe,107 S Edinburgh DR,CARY,NC,19193627882.0
290,Dunkin Donuts #306810,3209  S Wilmington ST,RALEIGH,NC,19196617377.0
