Date,HumidityMax,HumidityAvg,HumidityMin
2001-06-20,97.0,70.7,42.0
2001-06-21,93.0,75.3,51.0
2001-06-22,100.0,82.6,53.0
2001-06-23,100.0,83.9,60.0
2001-06-24,97.0,74.4,48.0
2001-06-25,100.0,76.2,54.0
2001-06-26,100.0,78.6,57.0
2001-06-27,100.0,84.7,51.0
2001-06-28,100.0,73.0,50.0
2001-06-29,100.0,70.0,42.0
2001-06-30,93.0,73.3,53.0
2001-07-01,87.0,73.7,55.0
2001-07-02,96.0,73.2,58.0
2001-07-03,90.0,74.1,65.0
2001-07-04,100.0,83.9,55.0
2001-07-05,100.0,85.7,55.0
2001-07-06,93.0,69.6,45.0
2001-07-07,100.0,68.5,41.0
2001-07-08,100.0,88.4,59.0
2001-07-09,100.0,82.7,59.0
2001-07-10,100.0,74.4,42.0
2001-07-11,100.0,75.4,42.0
2001-07-12,76.0,56.3,41.0
2001-07-13,96.0,74.1,52.0
2001-07-14,100.0,63.6,30.0
2001-07-15,100.0,65.0,31.0
2001-07-16,100.0,62.4,34.0
2001-07-17,90.0,63.7,38.0
2001-07-18,100.0,80.4,53.0
2001-07-19,100.0,88.8,63.0
2001-07-20,97.0,75.3,46.0
2001-07-21,100.0,65.5,37.0
2001-07-22,100.0,68.3,40.0
2001-07-23,100.0,82.3,52.0
2001-07-24,100.0,87.8,63.0
2001-07-25,94.0,73.0,47.0
2001-07-26,100.0,87.6,70.0
2001-07-27,100.0,93.7,79.0
2001-07-28,96.0,82.6,66.0
2001-07-29,100.0,92.9,79.0
2001-07-30,100.0,89.3,74.0
2001-07-31,100.0,84.9,56.0
2001-08-01,93.0,69.3,47.0
2001-08-02,100.0,72.2,39.0
2001-08-03,100.0,74.9,49.0
2001-08-04,91.0,71.5,48.0
2001-08-05,100.0,73.0,46.0
2001-08-06,100.0,73.9,43.0
2001-08-07,97.0,74.5,47.0
2001-08-08,100.0,76.1,47.0
2001-08-09,100.0,70.4,40.0
2001-08-10,96.0,77.5,49.0
2001-08-11,100.0,87.8,59.0
2001-08-12,100.0,81.8,52.0
2001-08-13,94.0,85.8,72.0
2001-08-14,100.0,84.6,51.0
2001-08-15,100.0,77.0,45.0
2001-08-16,93.0,74.4,53.0
2001-08-17,94.0,74.6,55.0
2001-08-18,100.0,94.0,80.0
2001-08-19,100.0,88.1,67.0
2001-08-20,97.0,85.4,69.0
2001-08-21,93.0,67.9,46.0
2001-08-22,100.0,71.1,37.0
2001-08-23,97.0,71.4,46.0
2001-08-24,100.0,85.7,63.0
2001-08-25,100.0,82.1,48.0
2001-08-26,97.0,74.2,49.0
2001-08-27,90.0,73.0,54.0
2001-08-28,100.0,85.3,57.0
2001-08-29,94.0,83.4,49.0
2001-08-30,96.0,88.9,70.0
2001-08-31,100.0,86.0,65.0
2001-09-01,97.0,91.9,83.0
2001-09-02,100.0,82.9,56.0
2001-09-03,93.0,79.2,66.0
2001-09-04,97.0,87.5,72.0
2001-09-05,100.0,86.0,57.0
2001-09-06,100.0,73.5,49.0
2001-09-07,100.0,75.5,42.0
2001-09-08,100.0,75.1,49.0
2001-09-09,100.0,89.3,67.0
2001-09-10,100.0,87.6,59.0
2001-09-11,100.0,80.0,43.0
2001-09-12,100.0,74.3,44.0
2001-09-13,100.0,79.9,52.0
2001-09-14,100.0,80.3,62.0
2001-09-15,97.0,71.8,39.0
2001-09-16,89.0,65.6,35.0
2001-09-17,100.0,71.6,37.0
2001-09-18,100.0,71.4,41.0
2001-09-19,93.0,67.1,38.0
2001-09-20,100.0,87.7,64.0
2001-09-21,100.0,88.6,56.0
2001-09-22,100.0,82.7,44.0
2001-09-23,100.0,78.4,46.0
2001-09-24,100.0,94.4,77.0
2001-09-25,100.0,74.8,40.0
2001-09-26,100.0,72.7,40.0
2001-09-27,100.0,70.4,31.0
2001-09-28,100.0,72.0,40.0
2001-09-29,100.0,70.6,45.0
2001-09-30,93.0,64.7,34.0
2001-10-01,100.0,68.8,27.0
2001-10-02,100.0,72.8,38.0
2001-10-03,100.0,70.4,37.0
2001-10-04,93.0,65.8,33.0
2001-10-05,97.0,67.5,41.0
2001-10-06,100.0,88.4,59.0
2001-10-07,100.0,67.7,28.0
2001-10-08,97.0,59.4,30.0
2001-10-09,100.0,71.5,37.0
2001-10-10,100.0,76.8,45.0
2001-10-11,100.0,74.0,43.0
2001-10-12,100.0,79.4,44.0
2001-10-13,100.0,76.3,48.0
2001-10-14,100.0,90.9,65.0
2001-10-15,100.0,74.3,35.0
2001-10-16,100.0,65.2,35.0
2001-10-17,89.0,59.6,34.0
2001-10-18,100.0,70.8,34.0
2001-10-19,100.0,76.8,44.0
2001-10-20,100.0,83.1,36.0
2001-10-21,93.0,74.3,54.0
2001-10-22,100.0,85.5,42.0
2001-10-23,100.0,78.4,43.0
2001-10-24,100.0,79.6,41.0
2001-10-25,100.0,61.3,15.0
2001-10-26,68.0,33.3,15.0
2001-10-27,58.0,42.6,30.0
2001-10-28,92.0,57.4,31.0
2001-10-29,96.0,65.5,27.0
2001-10-30,100.0,60.9,21.0
2001-10-31,96.0,71.9,41.0
2001-11-01,100.0,86.1,50.0
